OTU	log_x	log_y	log_x/y	r
OTU 1	-1.308728272	-4.382381805	3.073653533	19.42504092
OTU 2	-1.65158619	-2.285471792	0.633885601	1.17078723
OTU 3	-3.910063835	-3.90526055	-0.004803285	0.561220509
OTU 4	-1.589917549	-1.046723353	-0.543194197	0.301952116
OTU 5	-0.54179245	-1.257388785	0.715596335	1.286273562
OTU 6	-0.505315618	-1.935999993	1.430684374	2.930065731
OTU 7	-3.667025787	-4.984441796	1.317416009	2.571835464
OTU 8	-2.448915607	-1.787713074	-0.661202533	0.263593022
OTU 9	-4.989245081	-4.984441796	-0.004803285	0.561220509
OTU 10	-2.316224174	-2.520548807	0.204324633	0.713998817
OTU 11	-1.115343484	-1.986182458	0.870838974	1.537994077
OTU 13	-1.914428641	-0.772307483	-1.142121158	0.151521617
OTU 14	-4.989245081	-4.507320541	-0.48192454	0.324020812
OTU 15	-2.290275077	-2.805464849	0.515189772	1.021245279
OTU 16	-1.987511369	-0.809074965	-1.178436404	0.145317184
OTU 17	-2.731566507	-2.687776606	-0.043789901	0.536587097
OTU 18	-4.989245081	-4.984441796	-0.004803285	0.561220509
OTU 19	-2.189904532	-1.51007982	-0.679824712	0.25800185
OTU 20	-2.500694365	-2.437899133	-0.062795232	0.524973716
OTU 21	-2.346780561	-2.877231827	0.530451265	1.039347579
OTU 22	-2.640940218	-2.577901616	-0.063038603	0.524826644
OTU 23	-3.875301729	-3.17152844	-0.70377329	0.250985442
OTU 24	-3.947852396	-0.917706001	-3.030146395	0.017237012
OTU 25	-2.7639358	-3.729169291	0.965233491	1.714556976
OTU 26	-3.064965795	-3.244079107	0.179113311	0.693572446
OTU 27	-2.743732414	-3.729169291	0.985436877	1.754905013
OTU 28	-4.989245081	-3.4046582	-1.584586882	0.091041989
OTU 29	-2.506371498	-3.285471792	0.779100294	1.383838226
OTU 30	-4.989245081	-4.984441796	-0.004803285	0.561220509
OTU 31	-2.529852594	-3.192050107	0.662197513	1.209578148
OTU 32	-2.76652861	-3.493080102	0.726551492	1.302599545
OTU 33	-2.924787092	-3.753992875	0.829205783	1.46601383
OTU 34	-2.549912388	-1.193734509	-1.356177879	0.118425775
OTU 35	-4.989245081	-4.984441796	-0.004803285	0.561220509
OTU 36	-4.989245081	-4.984441796	-0.004803285	0.561220509
OTU 37	-2.940027059	-3.705688195	0.765661136	1.362591716
OTU 38	-4.989245081	-4.984441796	-0.004803285	0.561220509
OTU 39	-2.743732414	-2.783044672	0.039312258	0.590461119
OTU 40	-3.233370226	-3.151932883	-0.081437342	0.513826507
OTU 41	-2.741271815	-3.361192506	0.619920691	1.152114179
OTU 42	-2.631310234	-3.109380533	0.478070298	0.978521394
OTU 43	-2.729173693	-3.62271396	0.893540267	1.578720721
OTU 44	-3.785125099	-3.440373752	-0.344751347	0.379454321
OTU 45	-3.049725829	-2.227805688	-0.821920141	0.219066064
OTU 46	-3.281674905	-3.479291818	0.197616913	0.708506163
OTU 47	-2.717403475	-1.327099059	-1.390304416	0.113863091
OTU 48	-4.989245081	-2.397854491	-2.59139059	0.028565372
OTU 49	-3.421043357	-3.139343756	-0.281699601	0.408023686
OTU 50	-3.317147224	-1.916998953	-1.40014827	0.112579947
OTU 51	-2.813153822	-3.268438453	0.45528463	0.95318564
OTU 52	-4.989245081	-4.984441796	-0.004803285	0.561220509
OTU 53	-3.910063835	-3.753992875	-0.156070961	0.471519541
OTU 54	-3.273241738	-4.984441796	1.711200058	4.047018644
OTU 55	-2.607228039	-1.950214535	-0.657013503	0.264867349
OTU 56	-2.353761335	-3.221013803	0.867252468	1.531656612
OTU 57	-1.867029203	-2.598835523	0.731806319	1.310503954
OTU 58	-4.989245081	-4.984441796	-0.004803285	0.561220509
OTU 59	-2.23642865	-2.531123456	0.294694806	0.792287089
OTU 60	-3.169701146	-4.984441796	1.81474065	4.559376969
OTU 61	-3.05474663	-3.465927856	0.411181226	0.905994975
OTU 62	-3.470731142	-3.092347193	-0.378383948	0.365042308
OTU 63	-3.044762409	-3.382381805	0.337619396	0.832424538
OTU 64	-2.769136993	-4.984441796	2.215304803	7.230820446
OTU 65	-3.020762133	-3.753992875	0.733230742	1.312654848
OTU 66	-3.627517245	-2.860590155	-0.76692709	0.233384297
OTU 67	-2.779730067	-3.62271396	0.842983893	1.489454094
OTU 68	-3.445177037	-4.984441796	1.539264759	3.320225307
OTU 69	-3.32648725	-4.984441796	1.657954546	3.806382685
OTU 70	-3.667025787	-3.303200559	-0.363825228	0.371212474
OTU 71	-3.733972576	-4.507320541	0.773347965	1.37470388
OTU 72	-3.189904532	-1.533423344	-1.656481188	0.083809757
