OTU	log_x	log_y	log_x/y	r
OTU 1	-3.093665532	-4.913866812	1.82020128	4.588131069
OTU 2	-0.708226843	-0.417615414	-0.290611429	0.403858717
OTU 3	-0.486114775	-4.913866812	4.427752036	92.34453403
OTU 4	-3.831129694	-4.913866812	1.082737118	1.96292513
OTU 5	-3.01416127	-2.864648789	-0.149512481	0.475093332
OTU 6	-2.215000144	-2.628309503	0.413309358	0.908217478
OTU 7	-1.400590577	-4.913866812	3.513276235	32.22354328
OTU 8	-1.480645299	-0.756561182	-0.724084117	0.24518456
OTU 9	-1.205491055	-4.913866812	3.708375757	40.33880743
OTU 10	-1.680560442	-1.984447886	0.303887445	0.800716722
OTU 11	-3.099521277	-4.913866812	1.814345535	4.557303411
OTU 13	-3.169755701	-3.436745557	0.266989856	0.767414682
OTU 14	-1.596094203	-4.913866812	3.317772609	25.72891548
OTU 15	-1.65405092	-1.810747558	0.156696638	0.675901632
OTU 16	-3.673061539	-3.612836816	-0.060224723	0.526529629
OTU 17	-1.587849597	-1.114802093	-0.473047505	0.327349305
OTU 18	-4.966792296	-4.913866812	-0.052925484	0.530972995
OTU 19	-3.852848943	-2.913866812	-0.938982131	0.191445036
OTU 20	-1.801152347	-1.603811074	-0.197341273	0.449639586
OTU 21	-2.20236707	-2.602112951	0.399745881	0.894145338
OTU 22	-1.808630912	-1.757014911	-0.051616002	0.531774093
OTU 23	-3.282545548	-4.913866812	1.631321264	3.691439949
OTU 24	-4.188641045	-2.780327904	-1.408313142	0.111526637
OTU 25	-1.74019239	-4.913866812	3.173674421	21.79577855
OTU 26	-1.980468519	-1.590821076	-0.389647442	0.360339154
OTU 27	-2.124807491	-2.685980107	0.561172616	1.076766373
OTU 28	-4.966792296	-4.913866812	-0.052925484	0.530972995
OTU 29	-4.966792296	-4.913866812	-0.052925484	0.530972995
OTU 30	-3.762672313	-3.482503048	-0.280169265	0.408743203
OTU 31	-2.64664601	-2.164130496	-0.482515513	0.323800429
OTU 32	-2.112688769	-1.958660274	-0.154028495	0.472629612
OTU 33	-3.030613786	-3.872474127	0.84186034	1.487528674
OTU 34	-4.966792296	-4.913866812	-0.052925484	0.530972995
OTU 35	-4.966792296	-4.913866812	-0.052925484	0.530972995
OTU 36	-4.966792296	-4.913866812	-0.052925484	0.530972995
OTU 37	-2.235472194	-2.608515442	0.373043248	0.867075271
OTU 38	-3.484872158	-4.913866812	1.428994654	2.924371231
OTU 39	-2.412505086	-1.997412863	-0.415092223	0.349936356
OTU 40	-4.966792296	-4.913866812	-0.052925484	0.530972995
OTU 41	-2.137488523	-2.083278143	-0.05421038	0.530188113
