OTU	log_x	log_y	log_x/y	r
OTU 109	-3.1862042	-4.984441796	1.798237596	4.473567289
OTU 110	-3.005468036	-3.62271396	0.617245925	1.148571771
OTU 111	-3.029205883	-3.662222501	0.633016619	1.169616498
OTU 112	-4.978595889	-4.984441796	0.005845907	0.568143614
OTU 113	-2.996324656	-3.569468448	0.573143792	1.091709456
OTU 114	-4.978595889	-4.984441796	0.005845907	0.568143614
OTU 115	-4.978595889	-2.168864048	-2.809731841	0.022216173
OTU 116	-3.748146968	-3.393377189	-0.354769779	0.375102783
OTU 117	-4.978595889	-4.984441796	0.005845907	0.568143614
OTU 118	-2.892236059	-3.1271093	0.234873241	0.739557246
OTU 119	-3.297354652	-3.586501787	0.289147136	0.787242884
OTU 120	-3.345127434	-3.780321814	0.43519438	0.931391705
OTU 121	-2.861324594	-4.139343756	1.278019163	2.457789912
OTU 122	-4.978595889	-4.139343756	-0.839252133	0.214738102
OTU 123	-2.910410027	-2.939118817	0.02870879	0.583296769
OTU 124	-3.365812032	-3.465927856	0.100115824	0.633276085
OTU 125	-4.978595889	-2.764333708	-2.214262181	0.044096496
OTU 126	-3.279625885	-3.371657939	0.092032055	0.627409663
OTU 127	-3.447116972	-3.553078032	0.10596106	0.637552137
OTU 128	-4.978595889	-4.984441796	0.005845907	0.568143614
OTU 129	-2.425927673	-2.766957852	0.341030179	0.835699737
OTU 130	-4.978595889	-4.984441796	0.005845907	0.568143614
OTU 131	-4.978595889	-4.984441796	0.005845907	0.568143614
OTU 132	-4.978595889	-4.984441796	0.005845907	0.568143614
OTU 133	-4.978595889	-4.984441796	0.005845907	0.568143614
OTU 134	-3.487234195	-4.984441796	1.497207601	3.163289766
OTU 135	-3.365812032	-1.971183131	-1.394628902	0.113297604
OTU 136	-4.978595889	-4.984441796	0.005845907	0.568143614
OTU 137	-2.613107904	-3.312343938	0.699236034	1.26227271
OTU 138	-4.978595889	-3.244079107	-1.734516783	0.076608469
OTU 139	-3.937203204	-1.955870543	-1.981332661	0.057659231
OTU 140	-3.723323384	-4.984441796	1.261118412	2.410429212
OTU 141	-3.315838058	-4.984441796	1.668603739	3.853337467
OTU 142	-1.871725345	-4.984441796	3.112716451	20.31858227
OTU 143	-4.978595889	-4.984441796	0.005845907	0.568143614
OTU 144	-2.421088687	-4.984441796	2.563353109	10.79472866
OTU 145	-3.501474634	-3.440373752	-0.061100883	0.525998777
OTU 146	-2.953290024	-3.753992875	0.800702851	1.41868704
OTU 147	-2.311142936	-4.984441796	2.67329886	12.25136858
OTU 148	-4.978595889	-4.984441796	0.005845907	0.568143614
OTU 149	-3.937203204	-1.938727737	-1.998475467	0.056532403
OTU 150	-3.207743878	-3.312343938	0.104600061	0.636553934
OTU 151	-4.978595889	-4.984441796	0.005845907	0.568143614
OTU 152	-4.978595889	-3.192050107	-1.786545783	0.072154311
OTU 153	-3.937203204	-4.984441796	1.047238592	1.884319194
OTU 154	-4.978595889	-4.984441796	0.005845907	0.568143614
OTU 155	-4.978595889	-4.984441796	0.005845907	0.568143614
