OTU	log_x	log_y	log_x/y	r
OTU 1	-3.421664164	-4.382381805	0.960717641	1.705666015
OTU 2	-1.041656864	-2.285471792	1.243814927	2.362885296
OTU 3	-0.473271864	-3.90526055	3.431988686	29.34468954
OTU 4	-2.041580375	-1.046723353	-0.994857022	0.179517448
OTU 5	-1.156281567	-1.257388785	0.101107218	0.633999309
OTU 6	-1.3202027	-1.935999993	0.615797292	1.14665778
OTU 7	-1.083207671	-4.984441796	3.901234126	50.36771382
OTU 8	-2.175491659	-1.787713074	-0.387778585	0.361115295
OTU 9	-1.224713846	-4.984441796	3.75972795	42.7956031
OTU 10	-1.685099342	-2.520548807	0.835449466	1.476589952
OTU 11	-1.718978835	-1.986182458	0.267203623	0.767603573
OTU 13	-2.114107866	-0.772307483	-1.341800383	0.120402356
OTU 14	-1.350586382	-4.507320541	3.156734159	21.37480964
OTU 15	-2.145331836	-2.805464849	0.660133013	1.206706584
OTU 16	-2.327700196	-0.809074965	-1.518625231	0.098225118
OTU 17	-2.496584603	-2.687776606	0.191192003	0.703284713
OTU 18	-5.096831254	-4.984441796	-0.112389458	0.495838731
OTU 19	-1.866893568	-1.51007982	-0.356813748	0.374221127
OTU 20	-2.388693743	-2.437899133	0.049205389	0.597224851
OTU 21	-1.937865993	-2.877231827	0.939365833	1.664248187
OTU 22	-2.539324052	-2.577901616	0.038577564	0.589961889
OTU 23	-3.971892517	-3.17152844	-0.800364078	0.224570723
OTU 24	-4.212224673	-0.917706001	-3.294518672	0.012713814
OTU 25	-2.480180727	-3.729169291	1.248988564	2.377001512
OTU 26	-2.604070865	-3.244079107	0.640008242	1.179069206
OTU 27	-2.383340711	-3.729169291	1.34582858	2.657354326
OTU 28	-4.795801258	-3.4046582	-1.391143059	0.113753206
OTU 29	-2.083853503	-3.285471792	1.201618288	2.250838423
OTU 30	-5.096831254	-4.984441796	-0.112389458	0.495838731
OTU 31	-2.309134686	-3.192050107	0.882915421	1.559526959
OTU 32	-2.272488435	-3.493080102	1.220591667	2.300546466
OTU 33	-2.688591288	-3.753992875	1.065401586	1.924136903
OTU 34	-3.270756451	-1.193734509	-2.077021942	0.051644515
OTU 35	-5.096831254	-4.984441796	-0.112389458	0.495838731
OTU 36	-5.096831254	-4.984441796	-0.112389458	0.495838731
OTU 37	-2.789335216	-3.705688195	0.916352979	1.620733712
OTU 38	-5.096831254	-4.984441796	-0.112389458	0.495838731
OTU 39	-2.725147807	-2.783044672	0.057896864	0.603230939
OTU 40	-2.258822191	-3.151932883	0.893110692	1.577940133
OTU 41	-2.772548799	-3.361192506	0.588643707	1.111365804
OTU 42	-2.495858358	-3.109380533	0.613522175	1.14365824
OTU 43	-2.677426291	-3.62271396	0.945287669	1.675633408
OTU 44	-3.11005952	-3.440373752	0.330314232	0.825452889
OTU 45	-2.044137312	-2.227805688	0.183668376	0.697219241
OTU 46	-2.670862522	-3.479291818	0.808429296	1.431363123
OTU 47	-3.767772535	-1.327099059	-2.440673475	0.033978049
OTU 48	-3.125246189	-2.397854491	-0.727391697	0.244252674
OTU 49	-3.125246189	-3.139343756	0.014097568	0.57356674
OTU 50	-3.1760125	-1.916998953	-1.259013546	0.132442815
OTU 51	-2.325979242	-3.268438453	0.94245921	1.670185778
OTU 52	-5.096831254	-4.984441796	-0.112389458	0.495838731
OTU 53	-4.231529828	-3.753992875	-0.477536953	0.32566171
OTU 54	-5.096831254	-4.984441796	-0.112389458	0.495838731
OTU 55	-2.815797887	-1.950214535	-0.865583351	0.208326012
OTU 56	-3.012851125	-3.221013803	0.208162678	0.717160753
OTU 57	-2.420137644	-2.598835523	0.178697878	0.693240801
OTU 58	-5.096831254	-4.984441796	-0.112389458	0.495838731
OTU 59	-2.865531608	-2.531123456	-0.334408152	0.38399989
OTU 60	-2.708256449	-4.984441796	2.276185348	7.755822295
OTU 61	-2.81202467	-3.465927856	0.653903186	1.198082623
OTU 62	-3.144200229	-3.092347193	-0.051853035	0.531628994
OTU 63	-2.859622749	-3.382381805	0.522759056	1.030183771
OTU 64	-2.484400626	-4.984441796	2.500041171	10.03588697
OTU 65	-2.928530239	-3.753992875	0.825462636	1.459709699
OTU 66	-2.425349854	-2.860590155	0.435240301	0.931440949
OTU 67	-2.964358099	-3.62271396	0.658355861	1.20424016
OTU 68	-3.183017401	-4.984441796	1.801424395	4.490010673
OTU 69	-5.096831254	-4.984441796	-0.112389458	0.495838731
OTU 70	-3.841558749	-3.303200559	-0.53835819	0.303637971
OTU 71	-3.920739995	-4.507320541	0.586580547	1.108729108
OTU 72	-3.930499832	-1.533423344	-2.397076488	0.035727031
OTU 73	-2.90001051	-3.440373752	0.540363242	1.051276114
OTU 74	-4.055438569	-1.632645489	-2.422793079	0.034684755
OTU 75	-3.036133413	-2.887531783	-0.14860163	0.475591803
OTU 76	-3.075641955	-3.321683964	0.24604201	0.74912826
OTU 77	-3.710629648	-2.791317198	-0.919312451	0.195829877
OTU 78	-3.434073422	-2.43177358	-1.002299842	0.177985759
OTU 79	-3.72269416	-2.606043895	-1.116650265	0.156030695
OTU 80	-3.06880253	-3.109380533	0.040578003	0.591322191
OTU 81	-2.66546749	-4.984441796	2.318974307	8.147461731
OTU 82	-3.38362081	-2.912559789	-0.471061021	0.328098818
OTU 83	-2.807539661	-3.507320541	0.69978088	1.263064753
OTU 84	-3.011659644	-3.705688195	0.694028551	1.254727601
