OTU	log_x	log_y	log_x/y	r
OTU 1	-3.044985293	-5.188605102	2.143619809	6.658019771
OTU 2	-0.724309653	-1.86145059	1.137140937	2.089804425
OTU 3	-3.606427434	-5.188605102	1.582177669	3.488381786
OTU 4	-0.445102221	-5.188605102	4.743502881	132.8270773
OTU 5	-4.752555469	-1.951312765	-2.801242705	0.022434367
OTU 6	-4.752555469	-2.476797873	-2.275757596	0.041082454
OTU 7	-4.752555469	-5.188605102	0.436049633	0.932309248
OTU 8	-1.523642063	-1.457580722	-0.066061341	0.523003392
OTU 9	-4.752555469	-5.188605102	0.436049633	0.932309248
OTU 10	-1.788295839	-1.809843927	0.021548088	0.578507801
OTU 11	-4.752555469	-1.943833341	-2.808722129	0.022242014
OTU 13	-2.823136543	-2.785484581	-0.037651963	0.540392353
OTU 14	-4.752555469	-5.188605102	0.436049633	0.932309248
OTU 15	-1.824672059	-1.897680543	0.073008484	0.613817715
OTU 16	-3.036552126	-3.410453852	0.373901726	0.867932676
OTU 17	-2.21347937	-2.074327806	-0.139151565	0.480794392
OTU 18	-4.752555469	-0.850706776	-3.901848693	0.006318454
OTU 19	-4.752555469	-1.360912813	-3.391642656	0.01136878
OTU 20	-2.119087014	-1.726207104	-0.392879909	0.359000639
OTU 21	-2.939642113	-3.489635098	0.549992985	1.062996094
OTU 22	-2.185529103	-1.895021589	-0.290507514	0.403907036
OTU 23	-1.903136055	-5.188605102	3.285469047	24.78961029
OTU 24	-3.451525474	-2.174925405	-1.276600069	0.12978818
OTU 25	-1.927779007	-3.064753461	1.136974454	2.08940391
OTU 26	-2.122127594	-2.700054386	0.577926791	1.09773768
OTU 27	-2.28866248	-3.012513843	0.723851363	1.298556521
OTU 28	-4.752555469	-1.201564815	-3.550990654	0.00946324
OTU 29	-2.926480666	-5.188605102	2.262124436	7.631280091
OTU 30	-4.752555469	-1.213679116	-3.538876353	0.009596149
OTU 31	-1.847839924	-2.658405404	0.81056548	1.434887711
OTU 32	-2.527246187	-3.349756011	0.822509824	1.454755768
OTU 33	-1.134612034	-3.224817275	2.09020524	6.260914834
OTU 34	-4.752555469	-3.159221324	-1.593334145	0.090129737
OTU 35	-4.752555469	-1.28671107	-3.465844399	0.010437896
OTU 36	-4.752555469	-1.288729906	-3.463825563	0.010462185
OTU 37	-2.635284174	-3.657126185	1.021842012	1.830021456
OTU 38	-4.752555469	-1.316973798	-3.435581672	0.010807975
OTU 39	-2.340935763	-1.918392247	-0.422543516	0.346947225
OTU 40	-4.752555469	-5.188605102	0.436049633	0.932309248
OTU 41	-2.625450671	-3.003913671	0.378463	0.872502492
OTU 42	-2.400372951	-2.815693099	0.415320148	0.910322443
OTU 43	-1.848922953	-3.545152426	1.696229473	3.977863829
OTU 44	-2.591187467	-2.230041219	-0.361146248	0.372359169
OTU 45	-4.752555469	-5.188605102	0.436049633	0.932309248
OTU 46	-2.426219608	-2.638376749	0.212157141	0.720466424
OTU 47	-4.752555469	-3.197379026	-1.555176443	0.094177456
OTU 48	-4.752555469	-1.528879007	-3.223676462	0.013794214
OTU 49	-2.907457429	-2.608821506	-0.298635924	0.400144834
OTU 50	-4.752555469	-5.188605102	0.436049633	0.932309248
OTU 51	-3.261193775	-5.188605102	1.927411327	5.190878209
OTU 52	-4.752555469	-5.188605102	0.436049633	0.932309248
OTU 53	-1.998207133	-5.188605102	3.190397969	22.21949378
