OTU	log_x	log_y	log_x/y	r
OTU 1	-0.086898981	-5.1884194	5.101520419	200.5835833
OTU 2	-1.15460564	-1.861264888	0.706659248	1.273106688
OTU 3	-4.958267564	-5.1884194	0.230151837	0.735548128
OTU 4	-3.615844883	-5.1884194	1.572574518	3.45002653
OTU 5	-4.958267564	-1.951127063	-3.007140501	0.01769966
OTU 6	-4.958267564	-2.476612171	-2.481655392	0.032412123
OTU 7	-4.958267564	-5.1884194	0.230151837	0.735548128
OTU 8	-1.840333729	-1.457395021	-0.382938708	0.363133087
OTU 9	-4.958267564	-5.1884194	0.230151837	0.735548128
OTU 10	-2.928883786	-1.809658225	-1.119225561	0.155568762
OTU 11	-4.958267564	-1.943647639	-3.014619925	0.017547903
OTU 13	-4.958267564	-5.1884194	0.230151837	0.735548128
OTU 14	-4.958267564	-2.785298879	-2.172968684	0.046243515
OTU 15	-4.958267564	-5.1884194	0.230151837	0.735548128
OTU 16	-2.4117249	-1.897494841	-0.514230059	0.312190833
OTU 17	-4.958267564	-3.41026815	-1.547999414	0.094958855
OTU 18	-2.543294216	-2.074142104	-0.469152112	0.328820678
OTU 19	-4.958267564	-0.850521075	-4.107746489	0.004984963
OTU 20	-4.958267564	-1.360727112	-3.597540452	0.008969432
OTU 21	-2.358384492	-1.726021402	-0.632363089	0.272491922
OTU 22	-3.5269038	-3.489449396	-0.037454403	0.540515278
OTU 23	-2.587199701	-1.894835887	-0.692363815	0.254304045
OTU 24	-4.958267564	-5.1884194	0.230151837	0.735548128
OTU 25	-3.615844883	-2.174739703	-1.44110518	0.107394635
OTU 26	-2.615844883	-3.064567759	0.448722877	0.946011932
OTU 27	-2.457208301	-2.699868684	0.242660382	0.746217393
OTU 28	-2.541627056	-3.012328141	0.470701085	0.970254618
OTU 29	-4.958267564	-1.201379113	-3.75688845	0.007466051
OTU 30	-3.286169706	-5.1884194	1.902249695	5.042663905
OTU 31	-4.958267564	-1.213493414	-3.744774149	0.00757091
OTU 32	-1.967041488	-2.658219702	0.691178214	1.250616871
OTU 33	-2.429350863	-3.34957031	0.920219446	1.627964383
OTU 34	-2.994479736	-3.224631573	0.230151837	0.735548128
OTU 35	-4.958267564	-3.159035623	-1.799231941	0.071108121
OTU 36	-4.958267564	-1.286525368	-3.671742195	0.008235009
OTU 37	-4.958267564	-1.288544204	-3.669723359	0.008254172
OTU 38	-3.401965063	-3.656940483	0.25497542	0.756872779
OTU 39	-4.958267564	-1.316788096	-3.641479468	0.008526984
OTU 40	-2.782176305	-1.918206545	-0.863969759	0.208713382
OTU 41	-4.958267564	-5.1884194	0.230151837	0.735548128
OTU 42	-2.928883786	-3.00372797	0.074844184	0.615116346
OTU 43	-2.989784615	-2.815507397	-0.174277218	0.46173901
OTU 44	-2.421709121	-3.544966724	1.123257603	2.056666989
OTU 45	-3.439753624	-2.229855517	-1.209898107	0.140147748
