OTU	log_x	log_y	log_x/y	r
OTU 172	-4.97899719	-4.913866812	-0.065130378	0.523564253
OTU 173	-4.97899719	-4.913866812	-0.065130378	0.523564253
OTU 174	-3.882087177	-2.191232889	-1.690854288	0.080557881
OTU 175	-3.735959142	-2.540954809	-1.195004333	0.142571595
OTU 176	-3.494697351	-4.913866812	1.419169461	2.891478094
OTU 177	-4.97899719	-4.913866812	-0.065130378	0.523564253
OTU 178	-3.166083834	-4.913866812	1.747782978	4.221109954
OTU 179	-4.97899719	-4.913866812	-0.065130378	0.523564253
OTU 180	-3.084127534	-3.223670732	0.139543198	0.662684443
OTU 181	-4.97899719	-4.913866812	-0.065130378	0.523564253
OTU 182	-4.97899719	-3.280398356	-1.698598834	0.0798428
OTU 183	-4.97899719	-4.913866812	-0.065130378	0.523564253
